
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    192.168.68.104:58582   8.8.8.8:443            ESTABLISHED     10840
  TCP    192.168.68.104:58687   104.208.16.88:443      TIME_WAIT       0
  TCP    192.168.68.104:58735   52.182.141.63:443      ESTABLISHED     23220
  TCP    192.168.68.104:58755   157.240.13.54:5222     ESTABLISHED     12828
  TCP    192.168.68.104:58772   104.18.23.222:443      ESTABLISHED     23220
  TCP    192.168.68.104:58806   3.132.127.65:443       ESTABLISHED     12828
  TCP    192.168.68.104:58827   45.150.64.227:4000     ESTABLISHED     12292
  TCP    192.168.68.104:58918   107.167.96.30:443      TIME_WAIT       0
  TCP    192.168.68.104:58921   142.250.207.206:443    TIME_WAIT       0
  TCP    192.168.68.104:59023   216.198.79.131:443     TIME_WAIT       0
  TCP    192.168.68.104:59035   107.167.96.30:443      TIME_WAIT       0
  TCP    192.168.68.104:59036   104.18.32.47:443       TIME_WAIT       0
  TCP    192.168.68.104:59497   8.8.8.8:443            ESTABLISHED     10840
  TCP    192.168.68.104:59529   107.167.96.43:443      TIME_WAIT       0
  TCP    192.168.68.104:59541   142.251.220.68:443     ESTABLISHED     23220
  TCP    192.168.68.104:59596   198.169.2.129:443      TIME_WAIT       0
  TCP    192.168.68.104:59666   34.160.81.0:443        TIME_WAIT       0
  TCP    192.168.68.104:59775   198.169.2.129:443      TIME_WAIT       0
  TCP    192.168.68.104:60271   34.160.81.0:443        TIME_WAIT       0
  TCP    192.168.68.104:60393   198.169.2.129:443      TIME_WAIT       0
  TCP    192.168.68.104:60694   172.188.155.25:443     ESTABLISHED     23220
  TCP    192.168.68.104:60750   20.42.65.91:443        TIME_WAIT       0
  TCP    192.168.68.104:60757   85.193.90.242:4000     ESTABLISHED     12292
  TCP    192.168.68.104:60863   20.190.175.24:443      FIN_WAIT_1      23220
  TCP    192.168.68.104:60866   8.8.4.4:443            FIN_WAIT_1      23220
  TCP    192.168.68.104:60921   142.251.220.68:443     CLOSE_WAIT      23220
  TCP    192.168.68.104:61068   20.189.173.23:443      TIME_WAIT       0
  TCP    192.168.68.104:61190   142.250.207.206:443    TIME_WAIT       0
  TCP    192.168.68.104:61340   62.113.41.70:4000      ESTABLISHED     12292
  TCP    192.168.68.104:61447   198.169.2.129:443      TIME_WAIT       0
  TCP    192.168.68.104:61599   107.167.96.31:443      TIME_WAIT       0
  TCP    192.168.68.104:61875   3.132.127.65:443       ESTABLISHED     12828
  TCP    192.168.68.104:61886   142.250.207.206:443    TIME_WAIT       0
  TCP    192.168.68.104:62046   18.164.144.120:443     TIME_WAIT       0
  TCP    192.168.68.104:62149   172.64.155.209:443     ESTABLISHED     12084
  TCP    192.168.68.104:62165   107.167.96.31:443      TIME_WAIT       0
  TCP    192.168.68.104:62294   52.88.139.235:443      TIME_WAIT       0
  TCP    192.168.68.104:62356   142.251.43.10:443      TIME_WAIT       0
  TCP    192.168.68.104:62527   185.147.81.168:4000    ESTABLISHED     12292
  TCP    192.168.68.104:62837   142.251.220.68:443     LAST_ACK        10840
  TCP    192.168.68.104:63047   91.207.183.216:4000    ESTABLISHED     12292
  TCP    192.168.68.104:63075   198.169.2.129:443      TIME_WAIT       0
  TCP    192.168.68.104:63322   8.8.8.8:443            ESTABLISHED     23220
  TCP    192.168.68.104:63329   142.251.43.10:443      TIME_WAIT       0
  TCP    192.168.68.104:63440   104.18.22.222:443      FIN_WAIT_1      23220
  TCP    192.168.68.104:63585   198.169.2.129:443      TIME_WAIT       0
  TCP    192.168.68.104:63586   104.18.32.47:443       TIME_WAIT       0
  TCP    192.168.68.104:63814   142.250.67.170:443     LAST_ACK        6056
  TCP    192.168.68.104:63888   34.160.81.0:443        TIME_WAIT       0
  TCP    192.168.68.104:63946   107.167.96.31:443      TIME_WAIT       0
  TCP    192.168.68.104:64053   20.189.173.4:443       FIN_WAIT_1      23220
  TCP    192.168.68.104:64070   216.198.79.3:443       TIME_WAIT       0
  TCP    192.168.68.104:64206   140.82.114.25:443      ESTABLISHED     12828
  TCP    192.168.68.104:64228   170.168.16.131:4000    ESTABLISHED     12292
  TCP    192.168.68.104:64229   85.239.38.18:4000      ESTABLISHED     12292
  TCP    192.168.68.104:64376   3.132.127.65:443       ESTABLISHED     12828
  TCP    192.168.68.104:64448   3.132.127.65:443       ESTABLISHED     12828
  TCP    192.168.68.104:64449   148.113.17.90:443      ESTABLISHED     4244
  TCP    192.168.68.104:64503   142.251.155.119:443    TIME_WAIT       0
  TCP    192.168.68.104:64570   198.169.2.129:443      TIME_WAIT       0
  TCP    192.168.68.104:64590   142.251.220.68:443     TIME_WAIT       0
  TCP    192.168.68.104:64624   104.21.96.121:443      LAST_ACK        10840
  TCP    192.168.68.104:64791   54.89.247.167:443      ESTABLISHED     10840
  TCP    192.168.68.104:64891   216.239.38.223:443     TIME_WAIT       0
  TCP    192.168.68.104:64921   107.167.96.43:443      TIME_WAIT       0
  TCP    192.168.68.104:64942   198.169.2.129:443      TIME_WAIT       0
  TCP    192.168.68.104:65142   18.164.144.120:443     TIME_WAIT       0
  TCP    192.168.68.104:65207   150.171.28.10:443      TIME_WAIT       0
  TCP    192.168.68.104:65258   18.164.144.31:443      TIME_WAIT       0
  TCP    192.168.68.104:65469   216.198.79.131:443     TIME_WAIT       0
  TCP    [::]:135               [::]:0                 LISTENING       1200
  TCP    [::]:445               [::]:0                 LISTENING       4
  TCP    [::]:2179              [::]:0                 LISTENING       2088
  TCP    [::]:3389              [::]:0                 LISTENING       1328
